,Unnamed: 0,time,iiwa_joint_1,iiwa_joint_2,iiwa_joint_3,iiwa_joint_4,iiwa_joint_5,iiwa_joint_6,iiwa_joint_7,link_pos_1,link_pos_2,link_pos_3,link_pos_4,link_pos_5,link_pos_6,link_pos_7
106,106,1639136562579533989,2.7329528267080696,1.6301097248150411,-0.8095317399363569,1.6518406343576628,-1.4589657690436368,0.2653513203936999,1.4270750933258711,"[0.14573077305148183, 0.02261829545852022, 0.23860186898071414]","[0.13236556302441221, -0.12099385910275569, 0.3109851227131621]","[0.04500529052624533, 0.08425345979206768, 0.7270846930515068]","[0.08393604346146785, 0.11249675167923875, 0.6085453784748003]","[0.07758683159881435, 0.27223651746281663, 0.8260928750423051]","[0.1768042978174903, 0.10666694644864066, 0.8509541337092562]","[0.2048423584222466, 0.05358876366945736, 1.0010500345337312]"
107,107,1639136562679512138,0.5243190872284562,-1.1559837591426203,-0.3619132764314981,-1.5720532192816057,1.0987677711696962,2.01998302559334,2.766697675093655,"[-0.01755772523996801, 0.010378507633067649, 0.08860105017208916]","[0.08262379337135989, 0.05750367317201105, 0.32880236812223324]","[-0.23180193957394357, 0.11953890339777726, 0.49681530205748986]","[-0.4311754687217963, 0.16943664697525906, 0.18194356103139014]","[-0.5893877066140161, -0.11969228666605143, 0.4538982798438852]","[-0.4033495478142577, -0.33301291259952953, 0.5994820164818354]","[-0.5985716668191834, -0.06430541184267984, 0.5653997052747061]"
108,108,1639136562779588172,-1.294981152311287,-0.28094697253852496,1.6907307436697905,0.5804440173577623,1.186970748723454,-0.8926639375542063,-1.9310543289326216,"[-0.03556978916557287, 0.055305918898058165, 0.05094561474986689]","[0.04209992801349818, 0.08956376572414715, 0.23934887615514053]","[0.061581048889597034, -0.19012360781933968, 0.5464998925253729]","[-0.43134193076509875, -0.37967417093581823, 0.5222450016331341]","[-0.45045014495381375, -0.16524650202857305, 0.7655458038628569]","[-0.04972345881883314, -0.184273138093616, 0.7989500220638256]","[-0.12748395964837345, -0.13160078897683436, 0.6183177884975071]"
109,109,1639136562879527153,-1.3721517541875736,0.295893903839171,2.2554928681467143,-1.9300134363330617,2.2549705272487555,0.4340397712514124,-0.4217833895384091,"[0.07252151811337991, 0.10644595472813399, 0.2578436815005207]","[-0.025052017416649197, 0.24944605912390114, 0.32364948403253935]","[0.004016896837085948, 0.29538755778044984, 0.32404794477145815]","[0.11569530891926644, -0.08611462736646339, 0.7155115121435487]","[-0.08386597797077412, 0.0034671695515237494, 1.0065803713860266]","[-0.1636215111700297, 0.19137753267761315, 0.8851225931001738]","[-0.237774160739355, 0.18344307073911564, 1.194762057401142]"
110,110,1639136562979522629,-1.258108328358227,-0.6171934604716558,-2.2565653118846107,-1.9662971228195207,0.9574683297179098,-0.4738799977221393,-0.06411596133433006,"[-0.08151753224338798, -0.0659965462376264, 0.16925792518847638]","[0.19227846549208397, -0.2112379795306529, 0.5594902998181781]","[0.1367583770458255, -0.27200871618557476, 0.4731241075199688]","[-0.13949288623667602, -0.12487962695623418, 0.9088678261001607]","[0.2256134048213549, 0.07174674033622346, 0.7652883882937609]","[0.28082263256661677, 0.2077124770473593, 0.5738453718756774]","[0.2415788931387307, 0.16259045795840094, 0.6678864586098147]"
111,111,1639136563079595249,-1.230185984005987,0.5757475406673183,-2.11199219023662,-0.3710306486368471,2.8951564677490262,1.65362062028144,1.1788345819895336,"[0.08393009292587213, -0.07069443925890662, 0.2608439745262244]","[-0.16086950885028833, 0.014759802577675658, 0.4203752529183145]","[-0.06585503068198725, 0.054490118648535195, 0.5127757020920799]","[-0.026337302415860693, 0.34125078556334676, 0.8270169366068241]","[-0.20230214976553898, 0.1703980626468161, 0.38444990928445777]","[-0.19300208670619115, 0.23212165381543384, 0.34973435576073153]","[-0.49907264633772064, 0.31241728817184233, 0.4204614952723781]"
112,112,1639136563179596021,2.6566626393553845,-1.2786185956897596,0.8452844007489264,0.8588566814811718,-2.06386132363377,1.1093905792146308,0.4642305259638753,"[-0.023890243695251043, -0.04015386010035393, 0.040707314317988935]","[0.13218758611169193, 0.0849705927600709, 0.34415308992013965]","[0.10388535550610448, 0.026054121564297678, 0.5688062661162396]","[0.07816939107204321, -0.06078812883455742, 0.7169427838470298]","[0.052666949426737025, -0.30012774662900876, 0.9142304033281343]","[-0.06888733517037054, -0.4349827218363812, 0.9136666203333457]","[0.03645861400030758, -0.38439429670565123, 1.0480471931437974]"
113,113,1639136563279669231,-2.706971092540685,0.8622862647057681,2.6152815671181817,-1.5248433465912687,1.7684365508419062,-0.5440747702919133,-1.3656716063891483,"[-0.02686604061860284, -0.02843168115892571, 0.09199561513787727]","[-0.07506490615285363, -0.04927552309382935, 0.48255876659104596]","[0.2816782163831902, -0.12736226491477207, 0.2664102696821784]","[0.2477370814914766, -0.2824791608624585, 0.3834860131108515]","[0.6920367825525207, -0.1762988081361366, 0.4752684281252404]","[0.7096547763446494, -0.18350701952558424, 0.3575976174007768]","[0.803774432569292, 0.05240340087374529, 0.4107887035970465]"
114,114,1639136563379643786,1.658145921072109,0.797187691495187,-1.5872918489538517,0.6889403218173005,0.7911153056341047,0.7590168478067838,-0.6346069645770402,"[-0.10257610005035392, 0.0318068920711921, 0.1636392089190153]","[0.047954040092075774, -0.13225844802661446, 0.27098275165682706]","[-0.09121557890334905, -0.16908094734181073, 0.386311635414471]","[-0.41933519744335357, -0.2710279349751855, 0.8402887202969718]","[-0.2529080813655923, -0.12018632367973878, 0.6484224046872347]","[-0.04500088989094718, -0.22352323324704293, 0.9181433453123584]","[-0.04569693085035089, -0.22691208936213564, 0.9133242694372481]"
115,115,1639136563479534105,-1.2213896285974328,0.11351692900806133,1.60392979710103,0.8409226704913881,2.5175570037928967,0.6196378384743255,-1.6555920365943446,"[0.053554539594885944, -0.1629980814807227, 0.04485813909027657]","[-0.012802468429609701, 0.03116445460395538, 0.5479206097844089]","[-0.016394253929532504, 0.2842282008951289, 0.5162760960902424]","[0.04350362459007724, 0.25195252131166607, 0.8410459332653664]","[-0.19739421227198042, 0.17489034394755, 0.6055876536985809]","[0.015101501527263805, 0.361109699471715, 0.8602560178218138]","[-0.31482646678956655, 0.6343283060366786, 0.9010248530776118]"
116,116,1639136563579605708,0.7227537774408619,-1.7133337171700498,0.951353041637138,-0.7674359114909572,-1.6108915012396832,-1.603141998664943,-0.8721470255966439,"[0.048336098736186606, -0.0949520379765617, 0.08424424868681633]","[-0.021275497212881165, 0.12683365442739047, 0.22853919716863258]","[0.2217844704101729, -0.020088927408231344, 0.4774754306281689]","[-0.0252793211744078, -0.006501894736531795, 0.6606593806790436]","[-0.18689552352304756, -0.23478480071160635, 0.894168529256437]","[-0.27456117651296363, -0.1047178160833447, 0.8676396357381955]","[-0.36041183019306133, -0.370742333906218, 1.0478235940601142]"
117,117,1639136563679566506,-0.8897691661487439,-1.171595170757732,-0.22182381161774867,1.9442754056731952,1.3197182245918673,-1.7936630504289826,-0.057637703691402635,"[0.09026011158802322, 0.10822240246249054, 0.09305119690501937]","[-0.03417077036228302, -0.022729583230302462, 0.38041185115536524]","[-0.1689747296474898, -0.12493864872874558, 0.27466546766648103]","[-0.4468766204577948, -0.25064032992418683, 0.20721787864175317]","[-0.5940821211613643, -0.28318214364293226, 0.3349480422363773]","[-0.597107944283954, -0.14410579856791136, 0.21375222232099286]","[-0.7372783079998061, -0.23204599613583057, 0.2536358391010571]"
118,118,1639136563779479793,-0.6457595483521827,-0.9993076548924462,-0.5306218991856021,1.1383638073062028,-0.7051347852915875,1.8608285814446155,-1.684165177995936,"[-0.12846985115500048, -0.11661601106406135, 0.13889771032217682]","[-0.027512703086881224, -0.004861779200141603, 0.40012136774647233]","[-0.2385942889482442, 0.1512671466674757, 0.5461607859572156]","[-0.27066497579914933, 0.3476581797816546, 0.5164268542038382]","[-0.18476155192600127, 0.15205125099181507, 0.25035877679714175]","[-0.31524499960864877, 0.3498021681361467, 0.07411533951725013]","[-0.22058089734400252, 0.4494057641197272, 0.09970302222489008]"
119,119,1639136563879881969,-0.8810996723394444,0.11671921351990068,0.19240552093370453,1.6876199502065,-0.6252373676517697,-0.7723096040912347,-2.512307629943436,"[0.013059974581338844, 0.09646091177687642, 0.2709041120035316]","[-0.03137430926887834, 0.006271895889540271, 0.35263650219086723]","[-0.19141439008847794, -0.14508117896481962, 0.5888496617788616]","[-0.25410208047748994, 0.28587523712748797, 0.6225593144902603]","[-0.5067205776660199, 0.3040869027118049, 0.4939508680649304]","[-0.5745666369612279, 0.42935166734585534, 0.4515701934984408]","[-0.4363468429112254, 0.42777393638165395, 0.3560320954368887]"
120,120,1639136563979646932,1.8433785052602096,0.4995251940783674,1.4291455152421535,-0.06379288976517294,0.2285219033399221,0.2762617413126547,2.440842299815277,"[0.09417365719951362, -0.17235772630942017, 0.18818179012634745]","[0.12763681205395594, 0.06593107270144696, 0.32062405748461]","[-0.01016920792519721, -0.10389980342043954, 0.5747552750480894]","[0.002545067721904614, -0.002842109066262394, 0.5481263212120254]","[-0.13798331879830736, 0.021202323458779704, 0.7321213683857851]","[-0.2755840274417497, 0.13996282272751998, 0.8449141430123245]","[-0.27703115047655985, 0.23670718408758623, 0.7273694940563353]"
